name,description,ac,hp_formula,hp_avg,speed,str,dex,con,int,wis,cha,challenge,xp,size,mob_type,alignment,melee_mod,ranged_mod,attack1,attack1_range,attack1_dmg,attack2,attack2_range,attack2_dmg,attack3,attack3_range,attack3_dmg,source,notes,languages
Centaur,"Wild and reclusive, centaurs are fey creatures that roam sylvan forests, acting as guardians against intrusion.",13,7d10+7,46,50 ft.,16,14,13,9,13,11,2,450,Large,monstrosity,neutral good,+5,+4,Pike,10 ft.,1d10+3 piercing,Hooves,5 ft.,2d4+3 bludgeoning,Longbow,150/600 ft.,1d8+2 piercing,,,Sylvan
Chain Devil,"Chain devils, or kytons, are sadomasochistic fiends from Avernus that delight in tormenting their victims with enchanted chains. They can animate chains to attack independently.",16,11d8+44,94,30 ft.,18,14,18,11,12,14,8,3900,Medium,fiend,lawful evil,+8,,Chain,10 ft.,2d6+4 slashing,,,,,,,,,"Infernal, telepathy 120 ft."
Chasme,"Chasmes are demon insectoids from the Abyss that spread despair and sow discord with their droning buzz, preying on those weakened by its influence.",15,10d8+30,75,"20 ft., fly 60 ft.",10,15,16,11,14,10,6,2300,Large,fiend,chaotic evil,+5,,Proboscis,5 ft.,4d6 piercing,,,,,,,,,"Abyssal, telepathy 120 ft."
Chimera,"A terrifying hybrid beast, a chimera combines the heads of a lion, a goat, and a dragon, each with its own deadly attack. These monstrosities are often found guarding ancient ruins or treasures.",14,10d10+40,95,"30 ft., fly 60 ft.",19,13,19,3,14,10,6,2300,Large,monstrosity,chaotic evil,+7,,Bite (Lion),5 ft.,2d6+4 piercing,Horns (Goat),5 ft.,1d6+4 bludgeoning,Claws,5 ft.,2d6+4 slashing,,,Draconic (understands but can't speak)
Chuul,"These amphibious, lobster-like monstrosities with tentacles for a mouth guard ancient ruins and treasures, often in service to aberrations. They use their pincers to grapple and their tentacles to extract brains.",16,9d10+27,76,"30 ft., swim 30 ft.",19,10,16,5,11,5,4,1100,Large,monstrosity,chaotic evil,+6,,Pincers,10 ft.,2d6+4 bludgeoning,Tentacles (requires grappled target),5 ft.,2d6 psychic,,,,,,understands Deep Speech but can't speak
Clay Golem,"A hulking construct animated by a powerful elemental spirit, a clay golem is a mindless guardian that regenerates damage and flies into a berserk rage when injured.",13,10d10+50,105,20 ft.,20,9,20,3,8,5,9,5000,Large,construct,unaligned,+9,,Slam,5 ft.,2d10+5 bludgeoning,,,,,,,,,understands the languages of its creator but can't speak
Cloaker,"These manta-ray-like aberrations lurk in dark places, mimicking cave walls before revealing their true, terrifying forms to ambush prey with their bites and unsettling moans.",14,11d8+22,72,"10 ft., fly 40 ft.",17,15,14,13,12,13,8,3900,Large,aberration,chaotic evil,+6,,Bite,5 ft.,2d6+3 piercing,Tail,10 ft.,1d8+3 slashing,,,,,,"Deep Speech, Undercommon"
Cloud Giant,"Majestic and aloof, cloud giants dwell among the clouds in vast castles, often engaging in games of chance and valuing beauty and fine craftsmanship.",14,16d12+80,184,40 ft.,27,10,20,16,16,16,9,5000,Huge,giant,neutral evil or neutral good,+10,+7,Morningstar,10 ft.,4d8+8 piercing,Rock,60/240 ft.,4d10+8 bludgeoning,,,,,,"Common, Giant"
Cockatrice,"This reptilian bird has the power to turn creatures to stone with a touch, making it a dangerous pest despite its small size.",11,5d6,18,"20 ft., fly 40 ft.",6,12,12,2,13,5,0.5,100,Small,monstrosity,unaligned,+3,,Bite,5 ft.,1d4+1 piercing,,,,,,,,,
Commoner,"Commoners are non-adventuring individuals found in settlements and rural areas, representing the everyday people of the world. They are typically unarmored and unarmed or carry simple tools.",10,2d4,5,30 ft.,10,10,10,10,10,10,0,10,Medium,humanoid,any alignment,+2,,Club,5 ft.,1d4 bludgeoning,,,,,,,,,Any one language (usually Common)
Constrictor Snake,"A large serpent that coils around its prey, crushing them before swallowing them whole.",12,3d8+3,16,"30 ft., swim 30 ft.",15,14,12,1,10,3,0.25,50,Large,beast,unaligned,+4,,Bite,5 ft.,1d6+2 piercing,Constrict,5 ft.,1d8+2 bludgeoning,,,,,,
Copper Dragon Wyrmling,"A mischievous and playful young dragon, known for its love of riddles, pranks, and a hoard filled with unusual treasures.",16,9d8+18,58,"30 ft., climb 30 ft., fly 60 ft.",15,12,15,14,11,13,1,200,Medium,dragon,chaotic good,+4,,Bite,5 ft.,1d10+2 piercing,Acid Breath,20 ft. line,2d8 acid (DC 12 Dex save for half),,,,,,Draconic
Courtier,"A well-spoken and influential individual, accustomed to the intricacies of court life and social maneuvering.",15,4d8+4,22,30 ft.,11,12,12,14,14,16,0.125,25,Medium,humanoid,any alignment,+3,+3,Rapier,5 ft.,1d8+1 piercing,Light Crossbow,80/320 ft.,1d8+1 piercing,,,,,,any two languages
Coutal,"A wise and benevolent feathered serpent, a divine messenger and guardian of ancient secrets and good.",19,13d8+39,98,"30 ft., fly 90 ft.",16,20,17,18,20,18,4,1100,Medium,celestial,lawful good,+7,,Bite,5 ft.,1d6+5 piercing + 4d6 poison,Constrict,5 ft.,2d4+5 bludgeoning,,,,,,"Celestial, Common, Draconic, Elvish"
Crab,"A small, hard-shelled crustacean with pincers, often found scuttling along shorelines or underwater.",11,1d4,2,"20 ft., swim 20 ft.",2,11,10,1,8,2,0,10,Tiny,beast,unaligned,+0,,Pincer,5 ft.,1 bludgeoning,,,,,,,,,
Crawling Claw,"A severed hand animated by dark magic, often used as a minion or spy by necromancers.",13,2d4,5,"20 ft., climb 20 ft.",13,16,10,5,10,4,0,10,Tiny,undead,neutral evil,+3,,Claws,5 ft.,1d4+1 bludgeoning,,,,,,,,,understands the languages of its creator but can't speak
Crocodile,"A large, amphibious reptile with powerful jaws, known for lurking in murky waters and ambushing its prey.",12,3d10+3,20,"20 ft., swim 20 ft.",15,10,13,2,10,5,0.5,100,Large,beast,unaligned,+4,,Bite,5 ft.,1d10+2 piercing,,,,,,,,,
Cult Fanatic,"A zealous follower of a dark power, capable of wielding minor divine magic and inspiring fellow cultists.",13,6d8+6,33,30 ft.,11,14,12,10,13,14,2,450,Medium,humanoid,neutral evil,+4,+4,Dagger,5 ft. or 20/60 ft.,1d4+2 piercing,,,,,,,,,any one language (usually Common)
Cultist,"A devoted but often expendable follower of a malevolent entity or ideology, serving as a foot soldier for darker forces.",12,2d8,9,30 ft.,11,12,10,10,11,10,0.125,25,Medium,humanoid,any non-good alignment,+3,,Scimitar,5 ft.,1d6+1 slashing,,,,,,,,,any one language (usually Common)
Cyclops,"A hulking one-eyed giant, Cyclopes are solitary and brutish, often living in remote hills and islands, content with simple pleasures and prone to fits of rage.",13,19d10+76,180,30 ft.,23,11,18,8,6,9,6,2300,Huge,giant,chaotic neutral,+9,+9,Greatclub,10 ft.,3d8+6 bludgeoning,Rock,50/100 ft.,4d10+6 bludgeoning,,,,,,Giant
Dao,"A greedy and territorial elemental from the Elemental Plane of Earth, a dao is a tyrannical genie that delights in enslaving mortals and hoarding treasure.",18,16d10+64,152,"30 ft., burrow 30 ft., fly 30 ft.",23,12,18,14,13,16,11,7200,Large,elemental,neutral evil,+10,,Maul,5 ft.,2d6+6 bludgeoning,,,,,,,,,Primordial
Darkmantle,"A predatory monstrosity that resembles a leathery cloak, a darkmantle lurks in dark places, dropping onto unsuspecting prey to smother them and drain their life force.",11,3d6,10,"10 ft., fly 30 ft.",16,12,13,2,10,5,0.5,100,Small,monstrosity,unaligned,+5,,Crush,5 ft.,1d6+3 bludgeoning,,,,,,,,,
Death Knight,"A powerful undead champion, a death knight is a fallen paladin who violated their sacred oath and was raised as a spectral warrior, often riding a nightmare and wielding dark magic.",20,19d8+114,200,30 ft.,20,11,22,12,16,18,17,18000,Medium,undead,chaotic evil,+11,,Longsword,5 ft.,2d10+5 slashing plus 2d8 necrotic,,,,,,,,,"Abyssal, Common"
Death Slaad,"The most powerful and cunning of the slaadi, a death slaad is a horrifying frog-like fiend capable of shapechanging and wielding potent magic.",18,23d8+138,242,30 ft.,20,15,22,16,12,18,10,5900,Large,fiend,chaotic evil,+9,,Greatsword,5 ft.,2d6+5 slashing,Claw,5 ft.,2d6+5 slashing,,,,,,Slaad
Death Tyrant,"The undead form of a beholder, a death tyrant floats menacingly, its central eye emitting a powerful ray that negates magic and its eyestalks firing deathly beams.",18,18d10+90,189,"0 ft., fly 20 ft. (hover)",10,14,20,19,15,16,14,11500,Large,undead,lawful evil,,,,,,,,,,,,,,"Deep Speech, Undercommon"
Deathdog,"A grotesque two-headed canine, a deathdog is a ravenous undead beast whose bite carries a necrotic disease.",12,3d8+6,20,40 ft.,13,15,14,3,12,5,1,200,Medium,undead,neutral evil,+3,,Bite,5 ft.,1d6+1 piercing plus 2d6 necrotic,,,,,,,,,
Deep Gnome (Svirfneblin),"A reclusive and cautious humanoid, deep gnomes live in hidden settlements deep underground, renowned for their stealth and gem-cutting skills.",15,2d8,9,20 ft.,15,14,14,12,10,9,0.5,100,Small,humanoid,neutral good,+4,+4,Pick,5 ft.,1d4+2 piercing,Sling,30/120 ft.,1d4+2 bludgeoning,,,,,,"Gnomish, Terran, Undercommon"
Deer,"A common herbivorous animal, a deer is typically skittish and flees from danger, but can defend itself if cornered.",13,1d8,4,50 ft.,11,16,13,2,14,5,0,10,Medium,beast,unaligned,+2,,Ram,5 ft.,1d4 bludgeoning,,,,,,,,,
Demilich,"The skeletal remnant of an ancient lich, a demilich exists as a jeweled skull, its power focused on consuming souls and trapping foes.",20,21d4,52,"0 ft., fly 30 ft. (hover)",1,20,10,20,14,20,18,20000,Tiny,undead,neutral evil,,,,,,,,,,,,,,"Abyssal, Common, Draconic, Dwarvish, Elvish, Giant, Gnoll, Goblin, Halfling, Infernal, Orc, Sylvan, Undercommon"
Deva,"A deva is a celestial agent of the gods, appearing as a beautiful humanoid with feathered wings. They serve as messengers and enforcers of divine will, embodying hope and virtue.",17,12d8+48,102,"30 ft., fly 90 ft.",18,18,18,17,20,20,10,5900,Medium,Celestial,lawful good,+8,+8,Mace (Melee or Ranged),5 ft. or 20/60 ft.,1d6+4 bludgeoning or 2d8+4 radiant,,,,,,,,,"all, telepathy 120 ft."
Dire Wolf,"A dire wolf is a formidable predator, much larger and more aggressive than common wolves, often found in wildlands or accompanying larger humanoids. They hunt in packs, using their superior size and strength to take down prey.",14,5d8+10,32,50 ft.,17,15,15,3,12,7,1,200,Large,Beast,unaligned,+5,,Bite,5 ft.,2d6+3 piercing,,,,,,,,,
Diseased Giant Rat,"A diseased giant rat is an unnaturally large rodent, often found in sewers and dungeons, whose bite carries a vile sickness. These vermin are exceptionally aggressive, driven by hunger and a feral instinct.",12,2d6,7,20 ft.,7,15,11,2,10,4,0.125,25,Small,Beast,unaligned,+4,,Bite,5 ft.,1d4+2 piercing,,,,,,,,,
Displacer Beast,"A displacer beast is a predatory monstrosity that appears to be about a foot from its actual location, making it difficult to target. With two tentacles extending from its shoulders, this six-legged feline hunts relentlessly.",13,6d10+12,45,40 ft.,18,15,14,6,12,8,3,700,Large,Monstrosity,lawful evil,+6,,Tentacle,10 ft.,1d6+4 bludgeoning,Tentacle,10 ft.,1d6+4 bludgeoning,,,,,,
Djinni,"A djinni is a powerful air elemental with a humanoid form, capable of incredible magic and granting wishes. They are often proud and capricious, dwelling in the Elemental Plane of Air but sometimes summoned to the Material Plane.",17,13d10+39,110,"30 ft., fly 90 ft.",21,15,16,15,16,20,5,1800,Large,Elemental,chaotic good,+9,,Scimitar,5 ft.,2d6+5 slashing,Scimitar,5 ft.,2d6+5 slashing,,,,,,Auran
Doppleganger,"A doppelganger is a cunning shapeshifter that can perfectly mimic the appearance of any humanoid it sees. These insidious creatures often infiltrate societies, using their disguises to sow discord or gain influence.",14,8d8+16,52,30 ft.,11,18,14,11,12,14,3,700,Medium,Monstrosity,neutral evil,+6,,Slam,5 ft.,1d6+4 bludgeoning,,,,,,,,,Common
Dracolich,"A dracolich is a powerful and malevolent undead dragon, created through dark rituals to escape death. It retains all the memories and abilities of its former draconic self, gaining potent arcane and necrotic powers.",20,20d12+120,250,"40 ft., climb 40 ft., fly 80 ft.",27,10,21,18,15,23,17,18000,Huge,Undead,chaotic evil,+13,,Bite,10 ft.,2d10+8 piercing plus 4d6 necrotic,Claw,5 ft.,2d6+8 slashing,Tail,15 ft.,2d8+8 bludgeoning,,,"Common, Draconic"
Draft Horse,"A draft horse is a large, sturdy equine bred for heavy labor and pulling carts or plows. Docile and powerful, they are common beasts of burden in civilized and rural areas.",10,3d10+3,20,40 ft.,18,10,12,2,11,7,0.25,50,Large,Beast,unaligned,+6,,Hooves,5 ft.,2d6+4 bludgeoning,,,,,,,,,
Dragon Turtle,"A dragon turtle is a colossal, primordial creature that resembles a massive dragon with a turtle's shell, inhabiting deep oceans and coastal waters. It is a powerful engine of destruction, known for its scalding steam breath and formidable bulk.",20,17d12+102,212,"20 ft., swim 40 ft.",25,10,20,10,12,12,17,18000,Gargantuan,Dragon,neutral,+12,,Bite,15 ft.,4d12+7 piercing,Claw,10 ft.,2d8+7 slashing,Tail,15 ft.,4d6+7 bludgeoning,,,"Aquan, Draconic"
Dretch,"A dretch is a low-ranking, repulsive demon from the Abyss, dim-witted but filled with malice. They serve as cannon fodder in demonic legions, often found in large, chittering groups.",11,3d6+3,14,20 ft.,11,11,12,5,10,3,0.25,50,Small,Fiend,chaotic evil,+2,,Claws,5 ft.,1d4+1 slashing,Bite,5 ft.,1d4+1 piercing,,,,,,Abyssal
Drider,"A hideous hybrid of drow and giant spider, driders are created by Lolth as punishment for drow who displease her, twisting their forms into monstrous shapes. They are powerful and cunning hunters, often leading groups of spiders or other monstrous humanoids.",16,9d10+45,94,"30 ft., climb 30 ft.",16,16,18,13,14,12,6,2300,Large,monstrosity,chaotic evil,+6,+6,Longsword,5 ft.,1d8+3 slashing,Shortbow,80/320 ft.,1d6+3 piercing + 2d6 poison,Bite,5 ft.,1d6+3 piercing + 2d6 poison,,,"Elvish, Undercommon"
Drow,"Drow are elves of the Underdark, descended from an ancient subrace of elves who were exiled from the surface world for following the goddess Lolth. They are cunning, cruel, and fiercely loyal to their spider queen, dominating vast subterranean territories.",15,2d8,9,30 ft.,10,14,10,11,11,12,0.25,50,Medium,humanoid,neutral evil,+4,+4,Shortsword,5 ft.,1d6+2 piercing,Hand Crossbow,30/120 ft.,1d6+2 piercing,,,,,,"Elvish, Undercommon"
Drow Elite Warrior,"These seasoned drow soldiers are the backbone of drow society, well-trained and heavily armed. They serve as guardians, lieutenants, and enforcers for drow priestesses and mages, commanding lesser drow and monstrous minions.",18,10d8+20,65,30 ft.,13,18,14,12,14,13,5,1800,Medium,humanoid,neutral evil,+7,+7,Scimitar,5 ft.,1d6+4 slashing + 1d6 poison,Hand Crossbow,30/120 ft.,1d6+4 piercing + poison,,,,,,"Elvish, Undercommon"
Drow Mage,"Drow mages are masters of arcane magic, weaving devastating spells in service to Lolth and their noble houses. They are feared and respected within drow society, using their intellect and magic to exert control and eliminate rivals.",13,8d8+8,44,30 ft.,9,14,12,17,13,12,7,2900,Medium,humanoid,neutral evil,+4,,Shortsword,5 ft.,1d6+2 piercing,,,,,,,,,"Elvish, Undercommon"
Drow Priestess of Lolth,"Priestesses of Lolth hold immense power and authority within drow society, serving as ruthless spiritual and temporal leaders. They channel the dark power of the Spider Queen, demanding absolute obedience and punishing those who defy her will.",16,11d8+22,72,30 ft.,10,14,14,13,17,16,8,3900,Medium,humanoid,neutral evil,+4,,Scimitar,5 ft.,1d6+2 slashing + 1d6 poison,,,,,,,,,"Elvish, Undercommon"
Druid,"A master of primal magic, a druid draws power from nature, shapeshifting into beasts, commanding the elements, and healing allies. They often act as guardians of ancient forests and sacred places, fiercely protecting the natural world.",11,5d8,22,30 ft.,10,12,13,12,15,11,2,450,Medium,humanoid,neutral,+2,,Quarterstaff,5 ft.,1d6 bludgeoning,,,,,,,,,"Druidic, Elvish, Sylvan"
Dryad,"Dryads are fey spirits bound to a specific tree, serving as its protector and guardian of the forest around it. They are beautiful, ethereal beings who can charm humanoids and will defend their homes with their lives.",11,5d8,22,30 ft.,10,12,11,14,15,16,1,200,Medium,fey,neutral,+2,,Club,5 ft.,1d4 bludgeoning,,,,,,,,,"Elvish, Sylvan"
Duergar,"Duergar are gray-skinned dwarves of the Underdark, descended from those enslaved by mind flayers and other horrors. They are dour, isolationist, and ruthless, often employing psionic powers and stealth in their grim subterranean cities.",16,3d8+6,20,25 ft.,14,11,14,11,10,9,1,200,Medium,humanoid,lawful evil,+4,+3,War pick,5 ft.,1d8+2 piercing,Javelin,30/120 ft.,1d6+2 piercing,,,,,,"Dwarvish, Undercommon"
Duodrone,"A duodrone is a two-armed, two-legged modron, acting as a basic worker and messenger within the structured hierarchy of Mechanus. They are simple, obedient automatons, carrying out their assigned tasks with unwavering precision.",15,3d8+3,16,20 ft.,11,10,12,10,10,10,0.25,50,Medium,construct,lawful neutral,+2,,Fist,5 ft.,1d4+1 bludgeoning,,,,,,,,,Modron
Dust Mephit,"Dust mephits are petty, spiteful elementals formed from dust and air, often found in deserts, ruined tombs, or other arid, neglected places. They delight in mischief and annoyance, stirring up dust and choking their foes.",12,4d6+4,18,"30 ft., fly 30 ft.",5,14,12,9,11,10,0.5,100,Small,elemental,neutral evil,+4,,Claws,5 ft.,1d4+2 slashing,,,,,,,,,Auran
Eagle,"A common bird of prey, known for its keen eyesight and majestic flight. They often hunt small animals and can be found in various wilderness environments.",13,1d6,4,"10 ft., fly 60 ft.",6,15,10,2,14,6,0,10,Small,beast,unaligned,+4,,Talons,5 ft.,1d4+2 slashing,,,,,,,,,
Earth Elemental,"A large, lumbering creature of living earth, animated by elemental magic. It crashes through obstacles and absorbs physical blows with its rocky body.",17,8d10+32,76,"30 ft., burrow 30 ft.",20,8,18,5,10,5,5,1800,Large,elemental,neutral,+8,,Slam,10 ft.,2d8+5 bludgeoning,,,,,,,,,Terran
Efreeti,"A powerful, tyrannical genie from the Elemental Plane of Fire, known for its fiery temper and desire for domination. They forge magnificent weapons and armor in their volcanic fortresses.",17,16d10+96,184,"40 ft., fly 40 ft.",22,12,22,16,15,16,11,7200,Large,elemental,lawful evil,+10,,Scimitar,5 ft.,2d6+6 slashing plus 2d6 fire,Hurl Flame,120 ft.,5d6 fire,,,,,,Ignan
Elephant,"A massive, herbivorous beast known for its incredible strength and intelligence. Elephants live in herds and are generally peaceful but become dangerous if provoked.",12,7d12+28,74,40 ft.,22,9,16,3,11,6,4,1100,Huge,beast,unaligned,+8,,Gore,5 ft.,2d8+6 piercing,Stomp,5 ft.,2d10+6 bludgeoning,,,,,,
Elk,"A large, horned deer that roams forests and plains, often in herds. Elks are typically peaceful but can charge if threatened or provoked.",10,2d8+4,13,50 ft.,16,10,13,2,10,6,0.25,50,Large,beast,unaligned,+5,,Ram,5 ft.,1d6+3 bludgeoning,Hooves,5 ft.,2d4+3 bludgeoning,,,,,,
Empyrean,"A divine scion, child of a god, possessing immense power and beauty. Empyreans are beings of pure celestial energy, capable of inspiring awe or fear in mortals.",22,18d12+180,297,"50 ft., fly 50 ft.",30,21,30,21,22,27,23,50000,Huge,celestial,chaotic good,+19,,Greatsword,10 ft.,6d6+10 slashing plus 6d6 radiant,,,,,,,,,"all, telepathy 120 ft."
Erinyes,"A fearsome fiend from the Hells, serving as an enforcer of infernal law and a hunter of oathbreakers. Erinyes are skilled warriors, often wielding a longsword and a longbow that drips with poison.",18,16d8+64,136,"40 ft., fly 60 ft.",18,16,18,14,14,18,12,8400,Medium,fiend,lawful evil,+9,+8,Longsword,5 ft.,1d8+4 slashing,Longbow,150/600 ft.,2d8+3 piercing plus 4d6 poison,,,,,,"Infernal, telepathy 120 ft."
Ettercap,"A monstrous humanoid spider-shepherd that dwells in forests and caves, tending to colonies of spiders. Ettercaps use sticky webs to ensnare their prey before injecting them with venom.",13,6d8+12,39,"30 ft., climb 30 ft.",14,15,14,7,12,8,2,450,Medium,monstrosity,neutral evil,+4,,Bite,5 ft.,1d6+2 piercing plus 2d6 poison,Web,30/60 ft.,,,,,,,
Ettin,"A two-headed giant known for its brutish strength and dull intellect. Each head has its own rudimentary mind, often bickering with the other, making ettins unpredictable but dangerous foes.",10,10d10+40,95,40 ft.,21,8,18,6,10,11,4,1100,Large,giant,chaotic evil,+7,,Morningstar,5 ft.,2d8+5 bludgeoning,Greataxe,5 ft.,2d12+5 slashing,,,,,,"Giant, Orc"
Faerie Dragon,"A mischievous, impish dragon capable of flight and illusion magic, found in vibrant feywild forests. They delight in pranks and often have a chaotic good alignment, but can be unpredictable.",15,5d4+5,18,"10 ft., fly 60 ft.",3,17,13,12,13,14,1,200,Tiny,dragon,chaotic good,+5,,Bite,5 ft.,1d4+3 piercing,Euphoria Breath,15 ft. cone,,,,,,,"Draconic, Sylvan"
Fire Elemental,"A chaotic spirit of living flame, fire elementals burn everything in their path and reduce all to ash.",13,10d10+30,85,50 ft.,10,19,16,6,10,7,5,1800,Large,elemental,neutral,+7,,Slam,5 ft.,2d8+4 bludgeoning + 2d8 fire,,,,,,,,,Ignan
Fire Giant,"Fire giants are master smiths and engineers, living in volcanic regions and building fortresses of metal and stone.",18,18d12+72,189,30 ft.,25,9,19,10,12,13,9,5000,Huge,giant,lawful evil,+11,+11,Greatsword,10 ft.,6d6+7 slashing,Rock,60/240 ft.,2d10+7 bludgeoning,,,,,,Giant
Fire Snake,"These magical serpents are formed from elemental fire and smoke, often found guarding treasures or serving fire giants.",14,5d6+5,22,30 ft.,12,16,13,7,10,8,1,200,Medium,elemental,unaligned,+5,,Bite,5 ft.,1d4+3 piercing + 1d6 fire,Tail,5 ft.,1d4+3 bludgeoning + 1d6 fire,,,,,,understands Ignan but can't speak
Flameskull,"A preserved skull enchanted with a perpetual magical flame, a flameskull floats menacingly and can cast spells and unleash fire rays.",13,9d6+27,58,"0 ft., fly 40 ft. (hover)",1,17,16,16,10,12,4,1100,Tiny,undead,neutral evil,,+5,Fire Ray,30 ft.,4d6 fire,,,,,,,,,Common
Flesh Golem,"A grotesque monster stitched together from various corpses and animated by a powerful elemental spirit, flesh golems are incredibly strong and resistant to magic.",9,11d8+55,104,30 ft.,19,9,20,6,10,5,5,1800,Large,construct,neutral evil,+7,,Slam,5 ft.,2d8+4 bludgeoning,,,,,,,,,understands the languages of its creator but can't speak
Flumph,"These telepathic, jellyfish-like creatures float through the Underdark, siphoning psychic energy and emitting noxious fluids as a defense.",12,4d4,10,"5 ft., fly 30 ft. (hover)",6,15,10,14,14,11,0.125,25,Small,aberration,lawful good,+4,+4,Tendrils,5 ft.,1d4+2 psychic,Stench Spray,10 ft. cone,1d4 acid,,,,,,"understands Undercommon, telepathy 60 ft."
Flying snake,"This tiny serpent has leathery wings that allow it to fly, often delivering poison to unsuspecting victims.",14,1d4+1,4,"30 ft., fly 60 ft., swim 30 ft.",4,18,13,2,12,5,0.25,50,Tiny,beast,unaligned,+6,,Bite,5 ft.,1 piercing + 3d4 poison,,,,,,,,,
Fomorian,"Hideously ugly and twisted giants, fomorians are cursed creatures banished to the Feywild, filled with bitterness and hatred.",14,13d12+78,162,30 ft.,23,10,22,9,14,7,8,3900,Huge,giant,chaotic evil,+10,+10,Greatclub,15 ft.,3d8+6 bludgeoning,Rock,60/240 ft.,4d8+6 bludgeoning,,,,,,"Giant, Undercommon"
Frog,"A small, common amphibian, frogs pose little threat but are sometimes kept as pets or used as simple familiar forms.",11,1d4-1,2,"20 ft., swim 20 ft.",1,13,8,1,8,3,0,10,Tiny,beast,unaligned,,,,,,,,,,,,,,
Frost Giant,"Barbaric, blue-skinned giants dwelling in icy wastes, frost giants raid settlements and worship the god Thrym.",15,12d12+48,126,40 ft.,23,9,19,9,10,12,8,3900,Huge,giant,chaotic evil,+9,+9,Greataxe,10 ft.,3d12+6 slashing,Rock,60/240 ft.,4d10+6 bludgeoning,,,,,,Giant
Galeb Duhr,"A galeb duhr is an elemental spirit inhabiting a boulder, able to animate itself and roll about. It protects its territory, usually a mountain pass or valley.",16,8d8+32,68,"15 ft., roll 60 ft.",18,8,18,11,12,11,2,450,Medium,elemental,neutral,+6,,Slam,5 ft.,1d8+4 bludgeoning,,,,,,,,,Terran
Gargoyle,"A grotesque guardian crafted from stone, a gargoyle perches motionless until it spots prey or trespassers, then springs to life to attack. They often serve powerful evil masters.",15,7d8+21,52,"30 ft., fly 60 ft.",15,11,16,6,11,7,2,450,Medium,monstrosity,chaotic evil,+4,,Bite,5 ft.,1d6+2 piercing,Claws,5 ft.,1d6+2 slashing,,,,,,Terran
Gas Spore,"This floating orb resembles a beholder but is in fact a deadly fungal growth filled with poisonous gas and spores. It drifts mindlessly, exploding upon impact.",5,1d10,6,"0 ft., fly 10 ft. (hover)",5,1,10,5,5,5,0.5,100,Large,plant,unaligned,,,(Death Burst),10 ft. radius,3d6 poison (DC 10 Con save for half) + disease,,,,,,,,,
Gelatinous Cube,"A perfectly transparent, amoeboid monster that slowly slides through dungeon corridors, engulfing and dissolving any organic matter in its path. It leaves only inorganic objects behind.",6,10d10,55,15 ft.,14,3,20,1,6,1,2,450,Large,ooze,unaligned,+4,,Pseudopod,5 ft.,3d6 acid,Engulf,5 ft.,(Special: 6d6 acid per turn),,,,,,
Ghast,,13,8d8,36,30,16,17,10,11,10,8,2,450,Medium,Undead,CE,3,5,2d8+3,5,Piercing,2d6+3,5,Slashing,,,,GemDMD Sheet,unknown,
Ghost,,11,40d8,180,40,7,13,10,10,12,17,4,1100,Medium,Undead,any,5,,4d6+3,5,Necrotic,,,,,,,GemDMD Sheet,unknown,
Ghoul,,12,5d8,22,30,13,15,10,7,10,6,1,200,Medium,Undead,CE,2,4,2d6+2,5,Piercing,2d4+2,5,Slashing,,,,GemDMD Sheet,unknown,
Giant Ape,"A hulking, powerful primate, the giant ape is a formidable force of nature found in jungles and remote wildlands. It can hurl huge boulders and crush foes with its massive fists.",12,12d12+72,150,"40 ft., climb 40 ft.",23,14,18,7,12,7,7,2900,Huge,beast,unaligned,+9,+6,Fist,10 ft.,2d10+6 bludgeoning,Rock,50/100 ft.,7d6+6 bludgeoning,,,,,,
Giant Badger,"These larger-than-normal badgers are territorial and aggressive, using their sharp claws and strong jaws to defend their burrows. They are known for their fierce tenacity.",11,2d8+2,11,"30 ft., burrow 10 ft.",13,12,13,2,12,5,0.25,50,Medium,beast,unaligned,+3,,Bite,5 ft.,1d6+1 piercing,Claws,5 ft.,2d4+1 slashing,,,,,,
Giant Bat,"Much larger than ordinary bats, giant bats haunt caves and ruins, emerging at night to hunt. They use their keen hearing and echolocation to find prey in the darkness.",13,2d8+2,11,"10 ft., fly 60 ft.",15,16,13,2,12,6,0.25,50,Large,beast,unaligned,+4,,Bite,5 ft.,1d6+2 piercing,,,,,,,,,
Giant Boar,"Known for their ferocity and tusks, giant boars are dangerous wild animals that charge intruders. They are often found in forests and plains.",11,5d8+10,32,40 ft.,17,10,15,2,7,5,2,450,Large,beast,unaligned,+5,,Tusk,5 ft.,2d6+3 slashing,,,,,,,,,
Giant Centipede,"These monstrous arthropods are often found in damp, dark places like dungeons or caves. Their bites deliver a debilitating poison to their unfortunate victims.",13,1d8+1,6,"30 ft., climb 30 ft.",5,14,12,1,7,3,0.25,50,Small,beast,unaligned,+4,,Bite,5 ft.,1d4-1 piercing + 3d6 poison,,,,,,,,,
Giant Constrictor Snake,"A massive serpent that hunts by ambushing prey and crushing it with its powerful coils. They are typically found in warm climates, often near water.",12,5d10+5,32,"30 ft., swim 30 ft.",19,14,12,1,10,3,2,450,Large,beast,unaligned,+6,,Bite,10 ft.,1d8+4 piercing,Constrict,5 ft.,2d8+4 bludgeoning,,,,,,
